,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current (A),Resistance (Ohm),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Tests,Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM
25248,1550,11.1,3S1P,25,24.0,91.0,30.0,142.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
25249,1550,11.1,3S1P,25,24.0,91.0,30.0,142.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,15576.466203417729,0.030166683779017458,5.054476380977473,0.28821102938201804,14441.497900587905,0.02622664174389475,4.394316001650728,0.9200361719201025
26028,1550,11.1,3S1P,45,25.0,72.0,36.5,128.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
26029,1550,11.1,3S1P,45,25.0,72.0,36.5,128.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,15576.466203417729,0.030166683779017458,5.054476380977473,0.28821102938201804,14441.497900587905,0.02622664174389475,4.394316001650728,0.9200361719201025
26034,1550,11.1,3S1P,45,25.0,72.0,36.5,128.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
26808,1550,11.1,3S1P,75,27.0,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
26809,1550,11.1,3S1P,75,27.0,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,15576.466203417729,0.030166683779017458,5.054476380977473,0.28821102938201804,14441.497900587905,0.02622664174389475,4.394316001650728,0.9200361719201025
26814,1550,11.1,3S1P,75,27.0,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
27588,1550,11.1,3S1P,75,27.5,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
27589,1550,11.1,3S1P,75,27.5,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,15576.466203417729,0.030166683779017458,5.054476380977473,0.28821102938201804,14441.497900587905,0.02622664174389475,4.394316001650728,0.9200361719201025
