name,motor width (mm),motor height (mm),Kv (rms/V),propeller diameter (in),propeller pitch (in),battery (V),min PWM throttle (µs),max PWM throttle (µs),PWM throttle (%),Time (s),PWM throttle signal (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W)
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,65.3333333333333,43.9190357,1392,8870.99999999998,0.069496033356079,,10.688898971934,0.90501078671822,9.67356886774156,,,,7.1841152222348
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,71,39.1645655,1426,9653.00000000023,0.083468737436519,,10.682814022106,1.0969522847646,11.7185372492645,,,,7.12279490699729
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,76.8333333333333,34.35359305,1461,10436.0000000003,0.097813530424644,,10.675453785576,1.3245021364133,14.1396613461769,,,,6.91767136637192
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,82.6666666666667,29.5374307,1496,11247.9999999997,0.111907419653174,,10.668233019594,1.5846348793231,16.905254143595,,,,6.61968277451616
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,88.5,24.76811805,1531,11999.9999999998,0.128040417981033,,10.660005793212,1.8589392737559,19.8163034274672,,,,6.4613674517901
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,94.1666666666667,20.02655005,1565,12714.0000000004,0.143320898799763,,10.650880510723,2.158128171608,22.9859652826219,,,,6.23514814529536
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,2150,5,3,14.8,1000,1600,100,15.2719035,1600,13489.9999999999,0.1614869587572,,10.640136027356,2.4977728379388,26.5766427611039,,,,6.07627382468127
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,0,1.2363345,1000,0,-0.000113293634876,5.1148604192878E-05,11.30779214859,0.015849408539943,0.179221817447763,0,0,,
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,37.8181818181818,147.22027235,1208,8347,0.082017244644457,0.009364168458065,11.284142065048,1.2919414520264,14.5784508843903,8.18518028207828,56.1457479055094,10.0202123616062,5.62592317214414
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,41.0909090909091,140.4516902,1226,9414.00000000003,0.106994216885348,0.011375866326419,11.276547737122,1.7520612251759,19.7572020440565,11.2146904892836,56.7625439284165,9.54054122024935,5.41545390115272
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,44.3636363636364,133.6921281,1244,10426.0000000003,0.134789354839869,0.013636062066922,11.268203430176,2.2626638793945,25.4961568871284,14.8879639287153,58.3929726924114,9.05357881609941,5.28665380577087
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,47.6363636363636,126.94613635,1262,11266.0000000001,0.160111659744367,0.015674147084072,11.259334287643,2.7666540646553,31.1506829722203,18.4919317844873,59.3628454341695,8.65846043617161,5.13990848570326
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,50.9090909090909,120.17288945,1280,12121,0.187438956640861,0.017969870975313,11.249787864685,3.331114718914,37.4743339407123,22.809303715856,60.8664686394223,8.21765359328183,5.00179554725124
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,54.1818181818182,113.4174591,1298,12837.0000000003,0.212315875065818,0.019809416145355,11.240979366302,3.8851103878021,43.672445705089,26.6295504365935,60.975633506805,7.97294252380844,4.86155221302564
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,57.4545454545455,106.7417365,1316,13435.9999999995,0.236221907752596,0.021654321396067,11.231270942688,4.4363585758209,49.825945163962,30.4679470023911,61.1487587483396,7.75312848397885,4.74094183211702
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,60.7272727272727,100.04135115,1334,14141.9999999997,0.264564971466525,0.02417366225495,11.220985431671,5.0679895210266,56.8678365833008,35.7999072023906,62.9528207037565,7.3901021578307,4.6522777612436
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,64,93.33133325,1352,14654.9999999999,0.287228113079563,0.026131578412798,11.212067899704,5.6141811561584,62.9465803240867,40.1032974743395,63.7100494861893,7.16220687995418,4.56304554752206
