,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Motor price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Propeller price (€),Total weight (g),Total price (€),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m)
222,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,,192.92000000000002,,18133.683603959435,0.035518233536874874,9.670597867487501,0.40551197735705563,1.6220479094282225,6706.645623107336,0.005640103970740245,1.5356387976489312,0.3577090801225766,2.930376600857908
223,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,,192.0,,17223.075023867303,0.06475327725867852,17.630463078083046,0.4975229502431937,1.9900918009727748,5713.351692132584,0.008408242795997037,2.2893237291209836,0.310563946296467,1.9656459865236426
224,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,KingKong 6040,6.0,4.0,3.38,Plastic,,185.52,,17140.10945844708,0.0674168826600452,18.355686552036,0.5779595872215839,2.3118383488863357,5250.183941624597,0.007553815694104623,2.056687697233557,0.28510753711996434,2.187984109620986
225,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,,199.12,,16565.299125425838,0.08587114015888005,23.380252400123776,0.6544713023110544,2.6178852092442177,,,,,
226,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,,186.8,,17702.89927758367,0.049348563121604946,13.436195126016775,0.4352958158344733,1.7411832633378932,6305.08512118438,0.007308374867940297,1.9898611888215036,0.3395387339493534,2.2614642796591893
228,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1.5,180.88,,12748.560396320965,0.018507822060234484,3.488642269102786,0.20908212074094903,0.8363284829637961,,,,,
229,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,,Gemfan 5040 R,5.0,4.0,3.0,ABS,,184.0,,12683.13914143282,0.02062668980519366,3.888039429592061,0.1958552862024286,0.7834211448097144,,,,,
230,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,,6045 plastic,6.0,4.5,6.0,Plastic,,196.0,,11885.431633614184,0.04646289106910213,8.758048634834045,0.350609822207735,1.40243928883094,4749.418697481827,0.008513603170676221,1.6047763905943013,0.37629737764723514,2.804128990415607
231,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,,192.8,,12195.689099061703,0.03641425263663891,6.8639249141532135,0.27411972999274015,1.0964789199709606,5555.0109584679985,0.008500740634582128,1.602351859626596,0.436747461942555,2.8083719396366895
233,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,,DALPROP 6040,6.0,4.0,4.32,Nylon,,189.28,,12208.775203328383,0.035990419063201926,6.784034167714394,0.3054185872421965,1.221674348968786,5250.183941624877,0.007553815694109409,1.4238607134710488,0.4116675920789365,3.1604214916710656
234,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,,192.92000000000002,,12748.560396320965,0.018507822060234484,3.488642269102786,0.20908212074094903,0.8363284829637961,,,,,
235,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,,192.0,,12254.784475929737,0.034500268151404674,6.503147277596228,0.2623854144677089,1.0495416578708356,5713.3516921323835,0.008408242795982332,1.5849164278475478,0.44842049572175763,2.8392664249883417
236,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,,KingKong 6040,6.0,4.0,3.38,Plastic,,185.52,,12208.775203328383,0.035990419063201926,6.784034167714394,0.3054185872421965,1.221674348968786,5250.183941624877,0.007553815694109409,1.4238607134710488,0.4116675920789365,3.1604214916710656
237,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,,199.12,,11885.431633614184,0.04646289106910213,8.758048634834045,0.350609822207735,1.40243928883094,4749.418697481827,0.008513603170676221,1.6047763905943013,0.37629737764723514,2.804128990415607
238,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,,186.8,,12517.549407093537,0.025989820604006075,4.898965768659727,0.2268805855797284,0.9075223423189136,6305.085121187031,0.007308374868104651,1.3775962077065442,0.4902954489496521,3.266559514918896
242,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,,6045 plastic,6.0,4.5,6.0,Plastic,,196.0,,9911.254112671628,0.03320217136671302,5.041538715076181,0.24918261881658885,0.9967304752663554,,,,,
