,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current (A),Resistance (Ohm),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Total weight (g),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf)
50,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,6045 plastic,6.0,4.5,6.0,Plastic,172.0,,,,,
51,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,168.8,,,,,
52,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,156.72,,,,,
53,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,DALPROP 6040,6.0,4.0,4.32,Nylon,165.28,,,,,
54,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,168.92000000000002,,,,,
55,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,168.0,,,,,
56,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,KingKong 6040,6.0,4.0,3.38,Plastic,161.52,,,,,
57,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,175.12,,,,,
58,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,162.8,,,,,
59,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,154.4,,,,,
240,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,180.88,18133.68360404926,0.03551823353559562,9.6705978667023,0.40551197736083117,1.6220479094433247
241,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,Gemfan 5040 R,5.0,4.0,3.0,ABS,184.0,18010.79614821025,0.03946352926572172,10.744788914246142,0.3786786908287378,1.5147147633149511
242,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,6045 plastic,6.0,4.5,6.0,Plastic,196.0,16565.299125423455,0.08587114015890694,23.380252400144645,0.6544713023108774,2.6178852092435094
243,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,192.8,17116.56731512884,0.06817270201722643,18.561474518104557,0.5184366692879644,2.0737466771518576
244,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,180.72,18619.506171725166,0.01992093136008136,5.423897100304469,0.2543941698161892,1.0175766792647567
245,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,DALPROP 6040,6.0,4.0,4.32,Nylon,189.28,17140.10945845431,0.0674168826599555,18.355686551972845,0.5779595872220421,2.3118383488881684
246,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,192.92000000000002,18133.68360404926,0.03551823353559562,9.6705978667023,0.40551197736083117,1.6220479094433247
247,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,192.0,17223.076000088648,0.06475326498291972,17.630454544679672,0.49752300325939164,1.9900920130375666
