,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Motor price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Propeller price (€),Total weight (g),Total price (€),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m)
116081,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,6000,6.7,1.2,0.19,13.0,DALPROP 6040,6.0,4.0,4.32,Nylon,,191.07999999999998,,8630.25285242215,0.01894466960565054,11.903286971559517,0.1591021830670047,0.6364087322680188,5250.183546302876,0.007553765845835738,4.746140398190211,0.48021547748827503,22.123239346235604
116084,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,6000,6.7,1.2,0.19,13.0,KingKong 6040,6.0,4.0,3.38,Plastic,,187.32,,8630.25285242215,0.01894466960565054,11.903286971559517,0.1591021830670047,0.6364087322680188,5250.183546302876,0.007553765845835738,4.746140398190211,0.48021547748827503,22.123239346235604
68729,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,DALPROP 6040,6.0,4.0,4.32,Nylon,,200.28,,12410.295260701641,0.03709714049213068,11.654410403926619,0.31496499967733577,1.259859998709343,5250.183854628829,0.007553801829179971,2.373092550272963,0.3262874593179375,22.12303097658843
68732,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,KingKong 6040,6.0,4.0,3.38,Plastic,,196.51999999999998,,12410.295260701641,0.03709714049213068,11.654410403926619,0.31496499967733577,1.259859998709343,5250.183854628829,0.007553801829179971,2.373092550272963,0.3262874593179375,22.12303097658843
116057,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,13.0,DALPROP 6040,6.0,4.0,4.32,Nylon,,198.68,,10303.86237700505,0.026296237588904398,16.52241336527077,0.22201995688470197,0.8880798275388079,5250.1839022362365,0.007553809585751839,4.746194768122388,0.39042541149929527,22.122985913942674
116060,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,13.0,KingKong 6040,6.0,4.0,3.38,Plastic,,194.92000000000002,,10303.86237700505,0.026296237588904398,16.52241336527077,0.22201995688470197,0.8880798275388079,5250.1839022362365,0.007553809585751839,4.746194768122388,0.39042541149929527,22.122985913942674
40618,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,,202.86,,10484.654478206465,0.0187248211276827,3.137373893040579,0.16259334830043531,0.6503733932017413,6305.0851208555405,0.0073083748389465185,1.2245299527539346,0.577202876726793,22.04927689949742
68752,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,4600,8.5,,0.28,17.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,,191.72,,19970.33270943966,0.02267678669610148,10.923654728695915,0.2901959725553965,1.160783890221586,8824.66859656428,0.005005076674104681,2.410999727880006,0.3504711000609209,21.775199471367547
68819,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,3700,8.6,0.5,0.265,13.0,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,,189.8,,20749.40972794524,0.017453167315322555,6.7624582070930765,0.17714022850446787,0.7085609140178715,11921.96027495537,0.006261188969107847,2.4259796512926575,0.5223021666562411,21.640742110934827
40616,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,KingKong 6040,6.0,4.0,3.38,Plastic,,201.57999999999998,,10029.36282691621,0.025014921615505194,4.19128975250877,0.21103078069966055,0.8441231227986422,5250.183941589462,0.007553815690160112,1.2656539662221937,0.4896069641045139,21.33284509082001
