,Rotation speed (rpm),Torque (N⋅m),Thrust (kgf),Propeller diameter [in],Propeller pitch [in],Propeller num
3,18444.999999999767,0.042510812354535,0.4761597361730663,6.0,3.0,1
4,18108.99999999982,0.04101436060041,0.4612752800770906,6.0,3.0,1
5,17706.99999999985,0.038910790705983,0.4444173492394548,6.0,3.0,1
6,17395.999999999985,0.037877971731625,0.4234205822115809,6.0,3.0,1
7,16952.000000000266,0.035541363152193,0.4000494758808258,6.0,3.0,1
8,16567.99999999978,0.033786411745415,0.3772982988896004,6.0,3.0,1
9,16149.99999999995,0.032416593571954,0.3594010832120755,6.0,3.0,1
10,15621.999999999764,0.029908580058981,0.3315382007178904,6.0,3.0,1
11,15191.000000000462,0.02807773480591,0.3122372413391321,6.0,3.0,1
12,14654.999999999867,0.026131578412798,0.2872281130795633,6.0,3.0,1
13,14141.999999999727,0.02417366225495,0.2645649714665253,6.0,3.0,1
14,13435.999999999536,0.021654321396067,0.2362219077525964,6.0,3.0,1
15,12837.000000000264,0.019809416145355,0.2123158750658175,6.0,3.0,1
16,12121.000000000038,0.017969870975313,0.187438956640861,6.0,3.0,1
17,11266.000000000124,0.015674147084072,0.1601116597443673,6.0,3.0,1
18,10426.00000000026,0.013636062066922,0.1347893548398688,6.0,3.0,1
19,9414.00000000003,0.011375866326419,0.1069942168853482,6.0,3.0,1
20,8347.0,0.0093641684580645,0.0820172446444565,6.0,3.0,1
0,0.0,0.0001187876838806,-0.0003219584898384,6.0,3.0,1
1,19535.000000000444,0.046672087883435,0.5282676940652109,6.0,3.0,1
2,19269.99999999958,0.04487627669148,0.5091836465316597,6.0,3.0,1
3,19017.000000000287,0.043538859261335,0.4931018542611902,6.0,3.0,1
4,18590.00000000024,0.041973436636774,0.4760751918482764,6.0,3.0,1
5,18270.000000000156,0.040681670073015,0.4577710174226062,6.0,3.0,1
6,17834.999999999694,0.038833656481084,0.4326018837436025,6.0,3.0,1
7,17463.999999999636,0.037516147501121,0.4153040866078121,6.0,3.0,1
8,17039.999999999978,0.035729920391629,0.3907538039023825,6.0,3.0,1
